ID, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials, Guide1, Guide2, Guide3, Guide4, Guide5, Guide6, Guide7, SubmitASR1, SubmitASR2A, SubmitASR2B, SubmitASR2C, SubmitASR3, SubmitASR4, SubmitASR5, SubmitASR6, SubmitASR7A, SubmitASR7B
52,36,1,30,3,9,4,6,6,1,1,9,6,6,13,8,7,9,8,4,4
53,54,41,110,6,31,9,23,13,9,19,2,4,4,8,2,8,5,2,4,4
54,51,6,38,4,13,4,6,2,6,3,8,10,10,12,4,3,4,3,4,4
55,50,21,50,5,9,9,8,5,12,2,12,11,11,16,11,10,9,10,11,11
56,26,7,54,1,15,8,11,9,4,6,12,8,8,16,9,16,7,5,11,11
57,57,43,24,2,4,3,8,1,2,4,5,-1,6,13,8,16,8,9,5,8
58,67,49,130,18,37,15,39,13,0,8,8,9,9,9,11,11,10,11,11,11
59,90,4,84,4,23,11,15,10,10,11,13,10,10,17,10,16,4,9,9,9
60,115,64,96,11,24,12,18,12,9,10,3,4,9,14,9,5,7,7,5,5
61,54,15,58,1,13,18,15,2,4,5,8,2,4,4,5,4,5,5,3,4
62,67,4,60,11,16,20,0,8,5,0,4,6,6,6,6,18,11,9,8,8
63,46,14,75,3,20,15,18,10,4,5,2,6,10,15,11,15,8,10,9,9
64,62,30,73,2,24,9,11,5,8,14,14,9,9,18,11,18,11,11,11,11
65,33,5,64,3,17,7,16,5,7,9,6,11,11,18,11,18,11,11,10,10
66,50,23,12,4,3,1,1,3,0,0,2,4,4,12,4,11,5,5,5,5
67,56,54,77,1,22,5,28,11,2,8,8,2,5,11,4,12,6,6,6,6
68,51,41,113,0,33,13,32,11,6,18,8,4,8,14,8,16,9,4,5,8
69,38,6,101,1,28,12,26,9,9,16,13,8,10,16,10,4,10,10,9,9
70,47,43,140,10,30,18,32,19,13,18,11,7,7,14,7,9,9,7,6,7
71,30,17,64,2,17,6,17,7,5,10,13,5,9,12,9,16,9,9,9,9
72,52,15,63,5,10,8,16,7,4,13,3,4,4,8,2,12,4,10,4,4
73,52,54,116,9,30,13,18,12,10,24,9,5,5,16,8,16,10,9,9,9
74,35,33,55,1,14,8,13,6,4,9,5,4,9,16,8,17,10,11,11,11
75,105,171,65,5,20,3,10,12,7,8,3,2,2,9,2,2,3,1,2,2
76,42,15,73,4,18,9,17,7,6,12,11,7,9,18,11,18,11,11,8,5
77,61,64,84,10,21,9,19,9,6,10,8,7,7,14,8,5,7,6,6,6
78,43,39,103,4,29,12,15,13,13,17,6,10,10,17,10,17,11,11,11,11
79,65,21,81,8,14,16,19,8,10,6,2,9,9,16,8,17,9,9,8,8
80,42,2,58,5,19,6,10,6,6,6,12,5,8,13,10,17,11,6,9,9
81,38,46,128,9,27,24,20,16,9,23,9,6,6,13,6,6,3,6,6,6
82,57,15,156,3,40,36,31,11,15,20,7,6,5,14,9,12,11,11,11,11
83,50,33,82,4,23,11,18,13,4,9,16,13,13,19,15,11,11,11,11,11
84,26,4,50,2,15,4,13,5,3,8,6,2,3,9,1,11,3,1,5,5
85,32,1,54,1,17,7,11,5,7,6,7,4,6,12,5,14,9,5,8,8
86,37,29,105,4,21,20,25,15,9,11,7,4,5,11,3,12,5,4,1,2
87,43,39,103,4,29,12,15,13,13,17,6,10,10,17,10,17,11,11,11,11
88,27,5,83,1,20,10,18,11,11,12,12,4,8,15,9,16,10,8,8,8
89,91,86,48,10,17,8,8,2,2,1,6,5,5,10,5,8,5,4,5,5
90,68,35,108,2,33,10,21,9,9,24,9,9,9,15,8,14,10,9,6,6
91,61,29,27,1,6,2,10,1,4,3,12,8,8,16,8,16,9,9,9,9
92,57,24,114,4,32,16,19,19,15,9,12,7,11,22,26,32,24,9,11,11
93,61,17,28,6,4,6,3,3,2,4,13,9,9,17,11,17,11,11,11,11
94,42,29,87,4,24,6,20,14,7,12,7,4,7,8,9,15,8,10,8,8
95,44,4,55,2,16,8,13,8,5,3,9,4,5,6,7,7,5,5,5,5
96,17,2,76,0,23,14,27,12,0,0,20,13,13,13,18,25,0,0,0,0
97,46,14,6,4,0,0,2,0,0,0,3,10,11,18,32,18,11,9,10,10
98,46,16,41,4,11,2,9,5,3,7,11,2,8,14,9,9,9,7,8,8
99,30,6,59,4,22,10,4,9,3,7,12,10,14,18,21,27,14,13,11,11
100,47,25,26,5,4,1,6,1,5,4,11,5,8,13,8,15,5,5,9,9
101,66,34,120,7,33,17,29,10,10,14,3,4,4,15,8,14,8,5,6,7
102,26,0,46,2,10,5,14,6,4,5,8,4,5,12,5,11,5,5,5,5
103,38,5,73,3,23,6,21,5,7,8,6,5,6,12,10,16,9,5,4,4
104,40,2,105,3,31,12,20,11,10,18,7,5,8,14,10,16,11,8,8,8
105,37,25,81,3,22,11,12,9,8,16,1,8,8,12,6,13,7,5,4,9
106,49,77,70,13,31,8,10,8,0,0,4,10,10,24,17,25,17,0,0,0
107,52,18,68,3,20,7,13,9,8,8,8,7,7,15,9,3,10,8,9,11
108,27,2,75,2,22,12,15,7,9,8,8,4,5,13,5,15,5,9,6,6
109,31,20,109,7,21,11,24,12,16,18,9,5,10,13,11,15,5,11,7,11
110,41,9,82,4,20,6,24,12,6,10,14,5,11,18,10,17,5,8,11,11
